reference,projection,downsample_frac,n_features,kappa,uns_rate,Method
muraro,segerstolpe,10%,ALL,0.8346250252096,80.986871887732,scmap-cluster
muraro,segerstolpe,10%,ALL,0.836379476706606,80.7152557718425,scmap-cluster
muraro,segerstolpe,10%,ALL,0.835514301664348,80.805794477139,scmap-cluster
muraro,segerstolpe,10%,ALL,0.834849833041515,80.9416025350837,scmap-cluster
muraro,segerstolpe,10%,ALL,0.835514301664348,80.805794477139,scmap-cluster
muraro,segerstolpe,10%,ALL,0.835948927496296,80.805794477139,scmap-cluster
muraro,segerstolpe,10%,ALL,0.834226758701718,80.5341783612494,scmap-cluster
muraro,segerstolpe,10%,ALL,0.834398527044353,81.0321412403803,scmap-cluster
muraro,segerstolpe,10%,ALL,0.835514301664348,80.805794477139,scmap-cluster
muraro,segerstolpe,10%,ALL,0.8346250252096,80.986871887732,scmap-cluster
muraro,segerstolpe,10%,ALL,0.83748605772333,80.5341783612494,scmap-cluster
muraro,segerstolpe,10%,ALL,0.829621204352001,80.7605251244907,scmap-cluster
muraro,segerstolpe,10%,ALL,0.833795628536558,80.6247170665459,scmap-cluster
muraro,segerstolpe,10%,ALL,0.835294452833414,80.8510638297872,scmap-cluster
muraro,segerstolpe,10%,ALL,0.835072969391938,80.8963331824355,scmap-cluster
muraro,segerstolpe,10%,ALL,0.833000462411822,81.2584880036215,scmap-cluster
muraro,segerstolpe,10%,ALL,0.835731267226763,80.8510638297872,scmap-cluster
muraro,segerstolpe,10%,ALL,0.836164219470882,80.6699864191942,scmap-cluster
muraro,segerstolpe,10%,ALL,0.831318849449204,80.986871887732,scmap-cluster
muraro,segerstolpe,10%,ALL,0.837064410997316,80.6247170665459,scmap-cluster
muraro,segerstolpe,10%,ALL,0.8346250252096,80.986871887732,scmap-cluster
muraro,segerstolpe,10%,ALL,0.835294452833414,80.8510638297872,scmap-cluster
muraro,segerstolpe,10%,ALL,0.835294452833414,80.8510638297872,scmap-cluster
muraro,segerstolpe,10%,ALL,0.835539040541184,80.9416025350837,scmap-cluster
muraro,segerstolpe,10%,ALL,0.832689808449325,80.8510638297872,scmap-cluster
muraro,segerstolpe,10%,ALL,0.835514301664348,80.805794477139,scmap-cluster
