,baron-human,segerstolpe,muraro,xin,pollen,li
human1_lib1.final_cell_0151,0.81,0.74,0.66,0.61,NA,0.47
human1_lib1.final_cell_0152,0.85,0.81,0.74,0.63,NA,0.3
human1_lib1.final_cell_0153,0.83,0.76,0.72,0.58,NA,0.28
human1_lib1.final_cell_0154,0.85,0.79,0.77,0.65,0.6,0.19
human1_lib1.final_cell_0155,0.86,0.78,0.73,0.59,NA,0.29
human1_lib1.final_cell_0156,0.88,0.84,0.8,0.65,0.67,0.6
human1_lib1.final_cell_0157,0.86,0.74,0.67,0.55,0.36,0.23
human1_lib1.final_cell_0158,0.79,0.75,0.68,0.6,0.6,0.4
human1_lib1.final_cell_0159,0.79,0.81,0.79,0.62,0.55,0.25
human1_lib1.final_cell_0160,0.83,0.78,0.72,0.6,0.34,0.43
human1_lib1.final_cell_0161,0.84,0.82,0.77,0.67,0.36,0.2
human1_lib1.final_cell_0162,0.87,0.78,0.71,0.57,0.35,0.43
human1_lib1.final_cell_0163,0.81,0.77,0.73,0.56,0.34,0.2
human1_lib1.final_cell_0164,0.82,0.77,0.68,0.58,0.35,0.41
human1_lib1.final_cell_0165,0.81,0.77,0.68,0.57,NA,0.23
human1_lib1.final_cell_0166,0.72,0.7,0.58,0.54,NA,0.22
human1_lib1.final_cell_0167,0.68,0.7,0.58,0.59,0.29,NA
human1_lib1.final_cell_0168,0.87,0.78,0.71,0.58,0.61,0.41
human1_lib1.final_cell_0169,0.84,0.77,0.7,0.57,NA,NA
human1_lib1.final_cell_0170,0.82,0.78,0.72,0.6,0.6,0.47
human1_lib1.final_cell_0171,0.92,0.66,0.68,0.48,0.53,0.39
human1_lib1.final_cell_0172,0.64,0.7,0.6,0.6,NA,0.44
human1_lib1.final_cell_0173,0.91,0.69,0.69,0.53,0.57,0.4
human1_lib1.final_cell_0174,0.8,0.78,0.7,0.57,NA,NA
human1_lib1.final_cell_0175,0.84,0.76,0.69,0.58,NA,0.27
human1_lib1.final_cell_0176,0.84,0.77,0.73,0.6,0.36,0.19
human1_lib1.final_cell_0177,0.87,0.64,0.67,0.43,0.53,0.38
human1_lib1.final_cell_0178,0.84,0.74,0.7,0.6,0.32,0.28
human1_lib1.final_cell_0179,0.86,0.78,0.73,0.57,0.56,0.41
human1_lib1.final_cell_0180,0.79,0.75,0.74,0.56,NA,NA
human1_lib1.final_cell_0181,0.84,0.79,0.71,0.55,NA,0.23
human1_lib1.final_cell_0182,0.9,0.69,0.71,0.49,0.56,0.44
human1_lib1.final_cell_0183,0.79,0.82,0.74,0.68,0.33,0.42
human1_lib1.final_cell_0184,0.85,0.77,0.69,0.58,0.35,0.23
human1_lib1.final_cell_0185,0.85,0.8,0.74,0.68,0.36,0.44
human1_lib1.final_cell_0186,0.86,0.77,0.68,0.57,0.56,0.43
human1_lib1.final_cell_0187,0.83,0.82,0.77,0.7,NA,0.47
human1_lib1.final_cell_0188,0.77,0.57,0.61,0.64,0.67,0.48
human1_lib1.final_cell_0189,0.77,0.74,0.66,0.62,NA,0.43
human1_lib1.final_cell_0190,0.86,0.74,0.72,0.55,0.53,0.39
human1_lib1.final_cell_0191,0.83,0.84,0.81,0.69,0.36,0.21
human1_lib1.final_cell_0192,0.82,0.74,0.68,0.56,0.55,NA
human1_lib1.final_cell_0193,0.82,0.72,0.68,0.54,0.54,0.24
human1_lib1.final_cell_0194,0.86,0.79,0.73,0.64,0.38,NA
human1_lib1.final_cell_0195,0.84,0.75,0.72,0.58,0.55,0.19
human1_lib1.final_cell_0196,0.88,0.76,0.7,0.57,0.6,0.2
human1_lib1.final_cell_0197,0.8,0.76,0.73,0.66,0.6,0.45
human1_lib1.final_cell_0198,0.85,0.81,0.77,0.68,NA,NA
human1_lib1.final_cell_0199,0.85,0.76,0.71,0.57,0.58,0.27
human1_lib1.final_cell_0200,0.84,0.71,0.66,0.52,NA,0.22
human1_lib1.final_cell_0201,0.84,0.77,0.72,0.63,NA,0.42
human1_lib1.final_cell_0202,0.82,0.81,0.76,0.69,0.35,NA
human1_lib1.final_cell_0203,0.79,0.8,0.76,0.61,0.62,0.46
human1_lib1.final_cell_0204,0.87,0.8,0.74,0.56,0.59,0.16
human1_lib1.final_cell_0205,0.81,0.79,0.68,0.66,0.38,0.26
human1_lib1.final_cell_0206,0.84,0.8,0.73,0.58,NA,0.38
human1_lib1.final_cell_0207,0.75,0.79,0.73,0.58,0.62,0.43
human1_lib1.final_cell_0208,0.82,0.82,0.78,0.64,NA,0.29
human1_lib1.final_cell_0209,0.81,0.78,0.75,0.59,0.64,0.49
human1_lib1.final_cell_0210,0.85,0.77,0.7,0.59,NA,NA
human1_lib1.final_cell_0211,0.82,0.69,0.65,0.54,0.29,0.24
human1_lib1.final_cell_0212,0.76,0.77,0.7,0.65,0.33,0.38
human1_lib1.final_cell_0213,0.83,0.78,0.7,0.62,NA,0.25
human1_lib1.final_cell_0214,0.78,0.72,0.68,0.56,0.33,0.19
human1_lib1.final_cell_0215,0.85,0.82,0.76,0.64,0.66,0.53
human1_lib1.final_cell_0216,0.83,0.81,0.82,0.26,0.62,0.49
human1_lib1.final_cell_0217,0.79,0.72,0.66,0.33,0.36,0.48
human1_lib1.final_cell_0218,0.79,0.81,0.69,0.63,0.64,0.54
human1_lib1.final_cell_0219,0.81,0.74,0.72,0.54,0.58,0.29
human1_lib1.final_cell_0220,0.83,0.73,0.68,0.55,0.59,0.19
human1_lib1.final_cell_0221,0.79,0.71,0.7,0.6,NA,0.4
human1_lib1.final_cell_0222,0.83,0.77,0.74,0.58,0.37,0.39
human1_lib1.final_cell_0223,0.84,0.79,0.73,0.65,NA,0.45
human1_lib1.final_cell_0224,0.79,0.75,0.67,0.61,0.33,0.2
human1_lib1.final_cell_0225,0.88,0.79,0.74,0.63,0.59,0.19
human1_lib1.final_cell_0226,0.83,0.81,0.79,0.64,0.39,0.4
human1_lib1.final_cell_0227,0.85,0.76,0.7,0.55,0.59,0.23
human1_lib1.final_cell_0228,0.81,0.76,0.72,0.51,0.53,0.38
human1_lib1.final_cell_0229,0.83,0.75,0.72,0.59,0.55,0.25
human1_lib1.final_cell_0230,0.83,0.75,0.72,0.61,0.65,0.51
human1_lib1.final_cell_0231,0.82,0.78,0.69,0.63,0.6,0.17
human1_lib1.final_cell_0232,0.76,0.72,0.69,0.53,0.49,0.37
human1_lib1.final_cell_0233,0.81,0.73,0.72,0.6,NA,NA
human1_lib1.final_cell_0234,0.83,0.77,0.72,0.57,NA,0.24
human1_lib1.final_cell_0235,0.86,0.78,0.73,0.59,0.52,0.27
human1_lib1.final_cell_0236,0.78,0.73,0.64,0.56,0.53,0.24
human1_lib1.final_cell_0237,0.86,0.82,0.77,0.62,0.65,0.53
human1_lib1.final_cell_0238,0.79,0.72,0.64,0.59,0.31,0.16
human1_lib1.final_cell_0239,0.86,0.77,0.72,0.57,0.32,0.4
human1_lib1.final_cell_0240,0.8,0.76,0.72,0.59,NA,0.39
human1_lib1.final_cell_0241,0.84,0.79,0.71,0.59,0.35,0.29
human1_lib1.final_cell_0242,0.83,0.77,0.71,0.63,0.65,0.58
human1_lib1.final_cell_0243,0.83,0.75,0.71,0.57,0.57,0.23
human1_lib1.final_cell_0244,0.9,0.71,0.71,0.52,0.57,0.44
human1_lib1.final_cell_0245,0.84,0.77,0.77,0.6,0.31,NA
human1_lib1.final_cell_0246,0.82,0.74,0.71,0.57,0.31,0.25
human1_lib1.final_cell_0247,0.83,0.76,0.73,0.53,0.52,0.21
human1_lib1.final_cell_0248,0.78,0.76,0.71,0.64,0.6,0.43
human1_lib1.final_cell_0249,0.83,0.72,0.68,0.56,NA,0.38
human1_lib1.final_cell_0250,0.88,0.8,0.74,0.56,0.6,0.45
human1_lib1.final_cell_0251,0.76,0.67,0.62,0.48,0.23,0.14
human1_lib1.final_cell_0252,0.74,0.69,0.67,0.48,0.45,0.39
human1_lib1.final_cell_0253,0.84,0.77,0.71,0.55,0.56,0.41
human1_lib1.final_cell_0254,0.75,0.65,0.65,0.47,0.4,0.35
human1_lib1.final_cell_0255,0.81,0.76,0.7,0.58,0.59,0.25
human1_lib1.final_cell_0256,0.81,0.78,0.73,0.61,0.55,0.2
human1_lib1.final_cell_0257,0.78,0.72,0.64,0.58,NA,0.23
human1_lib1.final_cell_0258,0.85,0.78,0.73,0.59,0.58,0.22
human1_lib1.final_cell_0259,0.83,0.76,0.72,0.55,0.29,0.2
human1_lib1.final_cell_0260,0.85,0.75,0.68,0.57,NA,0.23
human1_lib1.final_cell_0261,0.81,0.72,0.69,0.56,0.61,0.48
human1_lib1.final_cell_0262,0.78,0.7,0.71,0.53,0.48,0.23
human1_lib1.final_cell_0263,0.83,0.81,0.78,0.64,0.37,0.4
human1_lib1.final_cell_0264,0.84,0.75,0.66,0.6,0.35,0.41
human1_lib1.final_cell_0265,0.83,0.81,0.75,0.63,0.62,0.21
human1_lib1.final_cell_0266,0.84,0.78,0.69,0.56,NA,0.34
human1_lib1.final_cell_0267,0.85,0.74,0.67,0.52,0.51,0.24
human1_lib1.final_cell_0268,0.83,0.79,0.73,0.56,NA,0.22
human1_lib1.final_cell_0269,0.81,0.75,0.65,0.54,0.59,0.43
human1_lib1.final_cell_0270,0.81,0.75,0.7,0.65,NA,0.44
human1_lib1.final_cell_0271,0.81,0.74,0.68,0.53,0.51,0.36
human1_lib1.final_cell_0272,0.8,0.75,0.67,0.7,0.35,0.23
human1_lib1.final_cell_0273,0.73,0.74,0.64,0.59,0.56,0.44
human1_lib1.final_cell_0274,0.74,0.7,0.62,0.63,0.35,0.44
human1_lib1.final_cell_0275,0.74,0.62,0.68,0.45,0.42,0.36
human1_lib1.final_cell_0276,0.85,0.79,0.71,0.6,0.56,0.43
human1_lib1.final_cell_0277,0.81,0.79,0.75,0.59,0.55,0.38
human1_lib1.final_cell_0278,0.85,0.79,0.77,0.58,0.61,0.34
human1_lib1.final_cell_0279,0.79,0.79,0.74,0.63,0.32,0.42
human1_lib1.final_cell_0280,0.78,0.75,0.67,0.67,0.4,0.27
human1_lib1.final_cell_0281,0.81,0.73,0.71,0.56,0.55,0.42
human1_lib1.final_cell_0282,0.83,0.79,0.72,0.58,0.54,0.38
human1_lib1.final_cell_0283,0.84,0.76,0.73,0.55,NA,0.2
human1_lib1.final_cell_0284,0.79,0.75,0.71,0.28,0.61,0.49
human1_lib1.final_cell_0285,0.79,0.77,0.72,0.65,0.6,0.47
human1_lib1.final_cell_0286,0.81,0.77,0.7,0.55,NA,0.4
human1_lib1.final_cell_0287,0.81,0.71,0.72,0.56,0.51,0.36
human1_lib1.final_cell_0288,0.85,0.8,0.45,0.55,0.57,0.45
human1_lib1.final_cell_0289,0.81,0.79,0.66,0.54,NA,0.51
human1_lib1.final_cell_0290,0.8,0.76,0.69,0.53,0.29,0.38
human1_lib1.final_cell_0291,0.84,0.75,0.69,0.55,0.53,0.18
human1_lib1.final_cell_0292,0.78,0.71,0.6,0.55,NA,0.22
human1_lib1.final_cell_0293,0.63,0.68,0.57,0.58,0.27,0.24
human1_lib1.final_cell_0294,0.84,0.77,0.71,0.61,NA,0.16
human1_lib1.final_cell_0295,0.84,0.75,0.7,0.59,0.34,0.39
human1_lib1.final_cell_0296,0.82,0.76,0.7,0.55,NA,0.2
human1_lib1.final_cell_0297,0.74,0.71,0.68,0.58,NA,0.24
human1_lib1.final_cell_0298,0.84,0.77,0.71,0.51,0.5,0.31
human1_lib1.final_cell_0299,0.85,0.77,0.7,0.51,NA,0.24
human1_lib1.final_cell_0300,0.71,0.7,0.66,0.51,NA,0.39
human1_lib1.final_cell_0301,0.8,0.73,0.74,0.56,0.51,0.37
human1_lib1.final_cell_0302,0.7,0.71,0.63,0.51,0.54,0.44
human1_lib1.final_cell_0303,0.8,0.69,0.65,0.53,0.49,0.18
human1_lib1.final_cell_0304,0.79,0.75,0.67,0.62,NA,0.24
human1_lib1.final_cell_0305,0.74,0.67,0.59,0.46,0.31,0.34
human1_lib1.final_cell_0306,0.81,0.74,0.73,0.6,0.28,0.41
human1_lib1.final_cell_0307,0.81,0.72,0.67,0.5,0.51,0.33
human1_lib1.final_cell_0308,0.81,0.77,0.78,0.57,NA,0.24
human1_lib1.final_cell_0309,0.8,0.77,0.68,0.54,0.32,0.23
human1_lib1.final_cell_0310,0.83,0.77,0.72,0.55,NA,0.25
human1_lib1.final_cell_0311,0.83,0.75,0.72,0.58,0.32,0.19
human1_lib1.final_cell_0312,0.83,0.79,0.71,0.57,0.58,0.25
human1_lib1.final_cell_0313,0.81,0.76,0.75,0.57,0.4,0.28
human1_lib1.final_cell_0314,0.83,0.76,0.67,0.6,0.57,NA
human1_lib1.final_cell_0315,0.69,0.7,0.64,0.51,0.5,0.41
human1_lib1.final_cell_0316,0.8,0.75,0.71,0.56,0.55,0.15
human1_lib1.final_cell_0317,0.83,0.76,0.67,0.59,NA,NA
human1_lib1.final_cell_0318,0.81,0.75,0.69,0.59,0.34,NA
human1_lib1.final_cell_0319,0.83,0.78,0.71,0.55,0.61,0.29
human1_lib1.final_cell_0320,0.85,0.77,0.71,0.54,0.53,0.17
human1_lib1.final_cell_0321,0.78,0.73,0.66,0.57,0.28,0.17
human1_lib1.final_cell_0322,0.82,0.76,0.73,0.62,0.57,0.26
human1_lib1.final_cell_0323,0.78,0.76,0.69,0.54,0.3,0.27
human1_lib1.final_cell_0324,0.82,0.8,0.76,0.63,0.35,0.38
human1_lib1.final_cell_0325,0.82,0.75,0.63,0.6,0.63,0.5
human1_lib1.final_cell_0326,0.76,0.77,0.65,0.6,0.31,0.39
human1_lib1.final_cell_0327,0.82,0.8,0.73,0.65,0.63,0.44
human1_lib1.final_cell_0328,0.85,0.76,0.72,0.57,0.27,0.35
human1_lib1.final_cell_0329,0.8,0.73,0.66,0.53,0.53,0.37
human1_lib1.final_cell_0330,0.78,0.72,0.67,0.5,0.58,0.47
