,baron-human,segerstolpe,muraro,xin,pollen,li
human3_lib4.final_cell_0647,0.9,0.62,0.6,0.4,0.34,0.31
human3_lib4.final_cell_0648,0.78,0.76,0.66,0.62,0.62,0.49
human3_lib4.final_cell_0649,0.7,NA,0.54,0.57,0.56,0.39
human3_lib4.final_cell_0650,0.77,0.68,0.59,0.55,0.55,0.37
human3_lib4.final_cell_0651,0.78,0.7,0.62,0.55,NA,0.33
human3_lib4.final_cell_0652,0.81,0.76,0.7,0.64,NA,0.36
human3_lib4.final_cell_0653,0.79,0.7,0.67,0.54,0.58,0.41
human3_lib4.final_cell_0654,0.78,0.65,0.59,0.51,NA,0.35
human3_lib4.final_cell_0655,0.91,0.61,0.61,0.41,0.49,0.36
human3_lib4.final_cell_0656,0.79,0.68,0.64,0.51,0.47,0.31
human3_lib4.final_cell_0657,0.75,0.68,0.6,0.52,NA,0.22
human3_lib4.final_cell_0658,0.77,0.7,0.6,0.59,0.29,0.38
human3_lib4.final_cell_0659,0.77,0.72,0.62,0.58,0.52,0.21
human3_lib4.final_cell_0660,0.8,0.73,0.71,0.55,NA,0.2
human3_lib4.final_cell_0661,0.81,0.76,0.7,0.64,0.58,0.24
human3_lib4.final_cell_0662,0.88,0.71,0.67,0.41,0.5,0.39
human3_lib4.final_cell_0663,0.79,0.76,0.64,0.6,0.33,0.38
human3_lib4.final_cell_0664,0.75,NA,0.56,0.58,0.54,0.41
human3_lib4.final_cell_0665,0.87,0.65,0.63,0.45,0.51,0.38
human3_lib4.final_cell_0666,0.85,0.79,0.73,0.65,0.36,0.4
human3_lib4.final_cell_0667,0.8,0.65,0.61,0.3,0.4,0.38
human3_lib4.final_cell_0668,0.8,0.73,0.6,0.58,0.56,0.4
human3_lib4.final_cell_0669,0.75,0.75,0.62,0.59,0.3,0.44
human3_lib4.final_cell_0670,0.77,0.68,0.63,0.5,0.55,NA
human3_lib4.final_cell_0671,0.74,0.69,0.55,0.56,0.32,0.36
human3_lib4.final_cell_0672,0.72,0.63,0.57,0.45,0.28,0.3
human3_lib4.final_cell_0673,0.88,0.67,0.64,0.45,0.48,0.42
human3_lib4.final_cell_0674,0.8,0.7,0.59,0.55,0.51,0.39
human3_lib4.final_cell_0675,0.77,0.69,0.68,0.45,0.51,0.3
human3_lib4.final_cell_0676,0.8,0.71,0.64,0.58,0.29,0.36
human3_lib4.final_cell_0677,0.78,0.68,0.58,0.52,0.46,0.33
human3_lib4.final_cell_0678,0.73,0.63,0.59,0.52,NA,0.34
human3_lib4.final_cell_0679,0.76,0.66,0.58,0.51,0.31,0.36
human3_lib4.final_cell_0680,0.74,0.67,0.51,0.61,0.59,0.31
human3_lib4.final_cell_0681,0.74,0.67,0.65,0.52,NA,0.39
human3_lib4.final_cell_0682,0.79,0.74,0.64,0.6,0.56,0.39
human3_lib4.final_cell_0683,0.73,0.72,0.57,0.56,0.55,0.37
human3_lib4.final_cell_0684,0.7,0.7,0.47,0.54,0.56,0.42
human3_lib4.final_cell_0685,0.91,0.63,0.62,0.16,0.53,0.4
human3_lib4.final_cell_0686,0.74,0.66,0.64,0.3,0.35,0.37
human3_lib4.final_cell_0687,0.65,0.65,0.31,0.52,0.47,0.38
human3_lib4.final_cell_0688,0.68,0.43,0.45,0.51,0.49,0.32
human3_lib4.final_cell_0689,0.73,0.68,0.6,0.53,0.51,0.37
human3_lib4.final_cell_0690,0.83,0.69,0.64,0.48,0.53,0.41
human3_lib4.final_cell_0691,0.79,0.67,0.58,0.52,0.36,0.22
human3_lib4.final_cell_0692,0.7,0.72,0.63,0.56,0.34,0.39
human3_lib4.final_cell_0693,0.67,0.67,0.57,0.51,0.52,0.44
human3_lib4.final_cell_0694,0.91,0.66,0.61,0.42,NA,0.39
human3_lib4.final_cell_0695,0.71,0.62,0.54,0.34,0.44,0.38
human3_lib4.final_cell_0696,0.91,0.65,0.67,0.42,0.47,0.3
human3_lib4.final_cell_0697,0.85,0.75,0.66,0.63,0.54,0.36
human3_lib4.final_cell_0698,0.84,0.76,0.68,0.46,0.54,0.41
human3_lib4.final_cell_0699,0.72,0.63,0.59,0.39,0.19,0.18
human3_lib4.final_cell_0700,0.74,0.7,0.56,0.59,0.55,0.24
human3_lib4.final_cell_0701,0.8,0.71,0.61,0.55,0.34,0.33
human3_lib4.final_cell_0702,0.76,NA,0.54,0.62,0.59,0.4
human3_lib4.final_cell_0703,0.73,0.64,0.56,0.52,0.49,0.27
human3_lib4.final_cell_0704,0.8,0.71,0.63,0.6,0.3,0.39
human3_lib4.final_cell_0705,0.81,0.77,0.73,0.49,0.54,0.42
human3_lib4.final_cell_0706,0.84,0.64,0.63,0.43,0.32,0.42
human3_lib4.final_cell_0707,0.76,0.69,0.61,0.5,0.55,0.29
human3_lib4.final_cell_0708,0.78,0.72,0.64,0.63,NA,NA
human3_lib4.final_cell_0709,0.69,NA,0.54,0.57,0.56,0.3
human3_lib4.final_cell_0710,0.82,0.73,0.69,0.53,0.58,0.46
human3_lib4.final_cell_0711,0.77,0.71,0.6,0.58,NA,0.39
human3_lib4.final_cell_0712,0.7,0.62,0.51,0.49,0.45,0.21
human3_lib4.final_cell_0713,0.7,0.65,0.52,0.56,0.3,0.23
human3_lib4.final_cell_0714,0.72,0.62,0.56,0.48,0.46,0.37
human3_lib4.final_cell_0715,0.8,0.71,0.67,0.54,0.57,0.45
human3_lib4.final_cell_0716,0.78,0.69,0.55,0.63,0.39,0.38
human3_lib4.final_cell_0717,0.72,0.65,0.61,0.48,0.53,0.38
human3_lib4.final_cell_0718,0.75,0.72,0.68,0.52,0.55,0.45
human3_lib4.final_cell_0719,0.82,0.71,0.67,0.47,0.51,0.3
human3_lib4.final_cell_0720,0.79,0.71,0.58,0.6,0.57,0.22
human3_lib4.final_cell_0721,0.75,0.68,0.55,0.56,0.31,0.37
human3_lib4.final_cell_0722,0.76,0.68,0.6,0.54,NA,0.36
human3_lib4.final_cell_0723,0.74,0.66,0.52,0.57,0.57,0.22
human3_lib4.final_cell_0724,0.83,0.73,0.67,0.44,0.53,0.42
human3_lib4.final_cell_0725,0.65,0.58,0.52,0.51,NA,0.37
human3_lib4.final_cell_0726,0.7,0.7,0.62,0.24,0.56,0.45
human3_lib4.final_cell_0727,0.79,0.71,0.63,0.56,0.31,0.26
human3_lib4.final_cell_0728,0.65,0.61,0.55,0.35,0.41,0.42
human3_lib4.final_cell_0729,0.67,NA,0.5,0.52,0.47,0.37
human3_lib4.final_cell_0730,0.71,0.61,0.57,0.52,NA,0.48
human3_lib4.final_cell_0731,0.76,0.69,0.62,0.54,0.51,0.25
human3_lib4.final_cell_0732,0.88,0.63,0.62,0.44,0.48,0.34
human3_lib4.final_cell_0733,0.73,0.71,0.58,0.56,NA,0.38
human3_lib4.final_cell_0734,0.77,0.7,0.56,0.55,NA,0.38
human3_lib4.final_cell_0735,0.67,0.6,0.49,0.48,0.32,0.17
human3_lib4.final_cell_0736,0.69,0.62,0.58,0.44,0.22,0.15
human3_lib4.final_cell_0737,0.65,0.67,0.61,0.48,0.53,0.48
human3_lib4.final_cell_0738,0.73,NA,0.54,0.51,0.29,0.4
human3_lib4.final_cell_0739,0.76,0.7,0.58,0.55,NA,0.22
human3_lib4.final_cell_0740,0.76,0.66,0.53,0.49,0.45,0.11
human3_lib4.final_cell_0741,0.78,0.72,0.59,0.58,0.62,0.55
human3_lib4.final_cell_0742,0.89,0.68,0.67,0.44,0.5,0.37
human3_lib4.final_cell_0743,0.74,0.67,0.54,0.59,0.32,0.39
human3_lib4.final_cell_0744,0.73,0.65,0.54,0.51,0.5,0.29
human3_lib4.final_cell_0745,0.71,0.68,0.57,0.51,NA,0.33
human3_lib4.final_cell_0746,0.89,0.62,0.63,0.46,0.45,0.3
human3_lib4.final_cell_0747,0.71,0.67,0.59,0.57,0.51,0.4
human3_lib4.final_cell_0748,0.89,0.63,0.65,0.42,0.48,0.35
human3_lib4.final_cell_0749,0.68,0.66,0.58,0.51,0.53,0.2
human3_lib4.final_cell_0750,0.74,0.64,0.54,0.54,NA,0.34
human3_lib4.final_cell_0751,0.82,0.72,0.67,0.51,0.56,0.44
human3_lib4.final_cell_0752,0.57,0.48,0.49,0.49,0.47,0.41
human3_lib4.final_cell_0753,0.72,0.65,0.58,0.42,0.26,0.15
human3_lib4.final_cell_0754,0.75,0.65,0.51,0.56,0.31,0.16
human3_lib4.final_cell_0755,0.76,0.67,0.54,0.54,0.5,NA
human3_lib4.final_cell_0756,0.76,0.65,0.57,0.53,0.27,0.39
human3_lib4.final_cell_0757,0.82,0.75,0.74,0.52,0.28,0.45
human3_lib4.final_cell_0758,0.65,NA,0.48,0.51,0.49,0.23
human3_lib4.final_cell_0759,0.76,0.69,0.59,0.57,NA,0.36
human3_lib4.final_cell_0760,0.77,0.69,0.62,0.53,0.48,0.36
human3_lib4.final_cell_0761,0.69,0.67,0.5,0.53,0.54,0.31
human3_lib4.final_cell_0762,0.89,0.63,0.61,0.39,0.48,0.39
human3_lib4.final_cell_0763,0.66,0.41,0.3,0.48,0.45,0.39
human3_lib4.final_cell_0764,0.79,0.72,0.62,0.48,0.47,0.18
human3_lib4.final_cell_0765,0.81,0.73,0.72,0.58,NA,0.2
human3_lib4.final_cell_0766,0.63,0.59,0.38,0.55,0.53,0.37
human3_lib4.final_cell_0767,0.68,0.63,0.41,0.56,0.55,0.39
human3_lib4.final_cell_0768,0.78,0.72,0.65,0.49,0.51,0.41
human3_lib4.final_cell_0769,0.68,0.61,0.53,0.56,0.51,0.3
human3_lib4.final_cell_0770,0.83,0.72,0.65,0.58,NA,0.36
human3_lib4.final_cell_0771,0.83,0.76,0.71,0.64,0.57,0.26
human3_lib4.final_cell_0772,0.63,0.57,NA,0.39,0.25,0.33
human3_lib4.final_cell_0773,0.81,0.66,0.63,0.49,0.54,0.42
human3_lib4.final_cell_0774,0.82,0.7,0.67,0.46,0.51,0.44
human3_lib4.final_cell_0775,0.83,0.76,0.72,0.48,0.54,0.45
human3_lib4.final_cell_0776,0.77,0.7,0.56,0.67,0.6,0.21
human3_lib4.final_cell_0777,0.76,0.7,0.65,0.54,0.5,0.39
human3_lib4.final_cell_0778,0.79,0.69,0.6,0.62,0.56,0.24
human3_lib4.final_cell_0779,0.88,0.6,0.62,0.38,0.46,0.3
human3_lib4.final_cell_0780,0.68,0.55,0.43,0.5,NA,0.26
human3_lib4.final_cell_0781,0.65,0.66,0.45,0.58,0.55,0.29
human3_lib4.final_cell_0782,0.73,0.68,0.66,0.57,0.32,0.36
human3_lib4.final_cell_0783,0.89,0.62,0.6,0.39,0.46,0.41
human3_lib4.final_cell_0784,0.78,0.7,0.63,0.54,0.51,0.23
human3_lib4.final_cell_0785,0.62,0.64,0.54,0.47,0.25,0.36
human3_lib4.final_cell_0786,0.7,0.7,0.61,0.55,0.47,0.4
human3_lib4.final_cell_0787,0.57,0.61,0.44,0.52,0.56,0.38
human3_lib4.final_cell_0788,0.62,0.59,0.49,0.46,NA,0.33
human3_lib4.final_cell_0789,0.68,0.62,0.47,0.5,0.48,0.34
human3_lib4.final_cell_0790,0.76,0.71,0.56,0.57,NA,0.34
human3_lib4.final_cell_0791,0.68,0.65,0.53,0.58,0.56,0.36
human3_lib4.final_cell_0792,0.85,0.67,0.64,0.44,NA,0.33
human3_lib4.final_cell_0793,0.88,0.66,0.62,0.41,0.47,0.43
human3_lib4.final_cell_0794,0.86,0.64,0.65,0.43,0.46,0.35
human3_lib4.final_cell_0795,0.68,0.69,0.52,0.46,0.55,0.41
human3_lib4.final_cell_0796,0.66,0.68,0.54,0.25,0.52,0.35
human3_lib4.final_cell_0797,0.82,0.72,0.68,0.47,0.51,0.42
human3_lib4.final_cell_0798,0.72,0.63,0.5,0.51,0.51,0.14
human3_lib4.final_cell_0799,0.82,0.72,0.66,0.55,0.51,0.19
human3_lib4.final_cell_0800,0.73,0.65,0.53,0.5,0.3,NA
human3_lib4.final_cell_0801,0.79,0.72,0.63,0.54,0.28,0.31
human3_lib4.final_cell_0802,0.68,0.62,0.51,0.44,0.47,0.33
human3_lib4.final_cell_0803,0.76,0.68,0.6,0.55,NA,0.37
human3_lib4.final_cell_0804,0.65,0.59,0.48,0.46,0.46,0.32
human3_lib4.final_cell_0805,0.74,0.66,0.52,0.52,0.27,0.34
human3_lib4.final_cell_0806,0.79,0.72,0.63,0.59,NA,0.39
human3_lib4.final_cell_0807,0.63,0.65,0.44,0.65,0.31,0.36
human3_lib4.final_cell_0808,0.69,0.68,0.54,0.49,0.48,0.33
human3_lib4.final_cell_0809,NA,0.59,0.44,0.53,0.55,0.42
human3_lib4.final_cell_0810,0.69,0.65,0.51,0.46,0.46,0.35
human3_lib4.final_cell_0811,0.84,0.65,0.66,0.2,0.5,0.38
human3_lib4.final_cell_0812,0.68,0.59,0.5,0.46,0.38,0.28
human3_lib4.final_cell_0813,0.64,NA,0.44,0.54,NA,0.33
human3_lib4.final_cell_0814,0.77,NA,0.59,0.48,0.28,0.12
human3_lib4.final_cell_0815,0.65,0.63,0.54,0.41,0.43,0.29
human3_lib4.final_cell_0816,0.73,0.67,0.56,0.49,0.46,0.34
human3_lib4.final_cell_0817,0.61,0.6,0.48,0.54,0.5,0.39
human3_lib4.final_cell_0818,0.79,0.73,0.67,0.12,NA,0.34
human3_lib4.final_cell_0819,0.66,0.64,0.51,0.17,0.45,0.32
human3_lib4.final_cell_0820,0.77,0.69,0.59,0.54,0.51,0.35
human3_lib4.final_cell_0821,0.8,0.7,0.61,0.55,0.55,0.35
human3_lib4.final_cell_0822,0.72,0.68,0.56,0.58,0.33,0.38
human3_lib4.final_cell_0823,0.7,NA,0.52,0.49,0.46,0.22
human3_lib4.final_cell_0824,0.73,0.63,0.49,0.57,0.56,0.21
human3_lib4.final_cell_0825,0.66,0.6,0.6,0.37,0.42,0.27
human3_lib4.final_cell_0826,0.78,0.74,0.67,0.51,0.55,0.4
human3_lib4.final_cell_0827,0.69,0.65,0.52,0.53,NA,0.36
human3_lib4.final_cell_0828,0.51,0.56,0.4,0.4,NA,NA
human3_lib4.final_cell_0829,0.68,0.64,0.51,0.55,0.5,0.2
human3_lib4.final_cell_0830,0.59,NA,0.41,0.63,0.62,0.37
human3_lib4.final_cell_0831,0.78,0.7,0.62,0.54,0.54,0.23
human3_lib4.final_cell_0832,0.67,0.66,0.47,0.14,0.46,0.45
human3_lib4.final_cell_0833,0.76,0.7,0.69,0.43,0.52,0.35
human3_lib4.final_cell_0834,0.64,0.62,0.48,0.47,0.29,0.28
human3_lib4.final_cell_0835,0.79,0.69,0.63,0.53,0.46,0.36
human3_lib4.final_cell_0836,0.67,0.58,0.53,0.47,0.43,0.22
human3_lib4.final_cell_0837,0.7,0.66,0.57,NA,0.45,0.39
human3_lib4.final_cell_0838,0.79,0.69,0.6,0.55,0.5,0.37
human3_lib4.final_cell_0839,0.73,0.62,0.51,0.52,0.5,0.3
human3_lib4.final_cell_0840,0.78,0.66,0.59,0.47,0.5,0.28
human3_lib4.final_cell_0841,0.57,0.59,0.46,0.47,NA,0.16
human3_lib4.final_cell_0842,0.75,0.7,0.62,0.44,0.51,0.38
human3_lib4.final_cell_0843,0.81,0.69,0.66,0.49,0.51,0.3
human3_lib4.final_cell_0844,0.78,0.68,0.6,0.49,0.5,0.35
human3_lib4.final_cell_0845,0.72,0.62,0.52,0.55,0.26,0.14
human3_lib4.final_cell_0846,0.69,0.68,0.46,0.18,0.31,0.21
human3_lib4.final_cell_0847,0.79,0.72,0.69,0.49,0.51,0.38
human3_lib4.final_cell_0848,0.74,0.65,0.55,0.54,0.51,0.29
human3_lib4.final_cell_0849,0.69,NA,0.49,0.49,0.48,0.14
human3_lib4.final_cell_0850,0.68,0.67,0.52,0.49,0.35,0.16
human3_lib4.final_cell_0851,0.68,0.61,0.53,0.5,0.29,0.33
human3_lib4.final_cell_0852,0.75,0.66,0.58,0.42,0.48,0.43
human3_lib4.final_cell_0853,0.67,0.64,0.47,0.44,0.47,0.37
human3_lib4.final_cell_0854,0.75,0.65,0.55,0.55,0.54,0.38
human3_lib4.final_cell_0855,0.68,0.61,0.5,0.48,0.5,0.18
human3_lib4.final_cell_0856,0.74,0.65,0.59,0.51,0.25,0.19
human3_lib4.final_cell_0857,0.76,0.63,0.58,0.53,0.5,0.21
human3_lib4.final_cell_0858,0.66,0.57,0.42,0.51,0.53,0.17
human3_lib4.final_cell_0859,0.65,0.66,0.44,0.45,0.54,NA
human3_lib4.final_cell_0860,0.72,0.64,0.52,0.55,0.52,0.31
human3_lib4.final_cell_0861,0.72,0.61,0.5,0.49,0.31,0.32
human3_lib4.final_cell_0862,0.64,0.57,0.46,0.48,0.5,0.29
human3_lib4.final_cell_0863,0.59,0.58,0.45,0.54,NA,0.43
human3_lib4.final_cell_0864,0.59,0.51,0.4,0.38,0.42,0.33
human3_lib4.final_cell_0865,0.74,NA,0.6,0.45,0.39,0.32
human3_lib4.final_cell_0866,0.67,0.6,0.49,0.48,NA,0.3
human3_lib4.final_cell_0867,0.74,0.66,0.49,0.52,NA,0.19
human3_lib4.final_cell_0868,0.73,0.62,0.54,0.51,0.46,0.21
human3_lib4.final_cell_0869,0.67,0.61,0.46,0.47,0.53,0.32
human3_lib4.final_cell_0870,0.69,0.6,0.48,0.49,0.23,0.36
human3_lib4.final_cell_0871,0.67,0.61,0.56,0.42,0.49,0.14
human3_lib4.final_cell_0872,0.59,0.6,0.49,0.5,0.5,0.36
human3_lib4.final_cell_0873,0.76,0.7,0.63,0.51,0.55,0.42
human3_lib4.final_cell_0874,0.58,0.58,0.46,0.58,0.3,0.35
human3_lib4.final_cell_0875,0.59,0.6,0.43,0.45,0.51,0.35
human3_lib4.final_cell_0876,0.74,0.69,0.65,0.41,0.45,0.36
human3_lib4.final_cell_0877,0.75,0.67,0.51,0.48,0.49,0.17
human3_lib4.final_cell_0878,0.66,0.59,0.52,0.45,0.24,0.34
human3_lib4.final_cell_0879,0.73,0.66,0.56,0.5,0.46,0.19
human3_lib4.final_cell_0880,0.7,0.64,0.49,0.49,0.47,0.35
human3_lib4.final_cell_0881,0.72,0.63,0.52,0.5,0.51,0.36
human3_lib4.final_cell_0882,0.75,0.6,0.56,0.5,0.26,0.33
human3_lib4.final_cell_0883,0.52,0.56,0.37,0.31,0.42,0.35
human3_lib4.final_cell_0884,0.73,0.62,0.52,0.42,0.44,0.31
human3_lib4.final_cell_0885,0.71,0.63,0.45,0.48,0.24,0.27
human3_lib4.final_cell_0886,0.68,0.66,0.39,0.42,0.46,0.37
human3_lib4.final_cell_0887,0.68,0.62,0.51,0.39,0.44,0.37
human3_lib4.final_cell_0888,0.72,0.66,0.65,0.4,0.48,0.22
human3_lib4.final_cell_0889,0.72,0.65,0.52,0.51,0.51,0.19
human3_lib4.final_cell_0890,0.65,NA,0.45,0.56,0.52,0.35
human3_lib4.final_cell_0891,0.73,NA,0.5,0.46,0.3,0.36
human3_lib4.final_cell_0892,0.7,0.62,0.55,NA,0.47,NA
human3_lib4.final_cell_0893,0.8,0.68,0.61,0.43,0.51,0.49
human3_lib4.final_cell_0894,0.76,0.67,0.67,0.44,0.47,0.36
human3_lib4.final_cell_0895,0.68,0.6,0.47,0.48,0.42,0.36
human3_lib4.final_cell_0896,0.73,0.63,0.52,0.47,0.32,0.19
human3_lib4.final_cell_0897,0.76,0.65,0.6,0.56,0.52,0.24
human3_lib4.final_cell_0898,0.65,0.61,0.47,0.48,0.43,0.34
human3_lib4.final_cell_0899,0.63,NA,0.43,0.51,0.48,0.43
human4_lib1.final_cell_0001,0.81,0.83,0.84,NA,0.69,0.52
human4_lib1.final_cell_0002,0.88,0.85,0.8,0.68,0.66,0.5
human4_lib1.final_cell_0003,0.86,0.81,0.78,0.63,0.6,0.42
human4_lib1.final_cell_0004,0.78,0.84,0.82,0.66,0.7,0.54
human4_lib1.final_cell_0005,0.88,0.82,0.78,0.63,0.64,0.54
human4_lib1.final_cell_0006,0.88,0.84,0.79,0.35,0.68,0.55
human4_lib1.final_cell_0007,0.79,0.78,0.77,0.63,0.64,0.53
human4_lib1.final_cell_0008,0.88,0.87,0.83,0.75,0.44,0.32
human4_lib1.final_cell_0009,0.82,0.84,0.83,NA,0.69,0.53
human4_lib1.final_cell_0010,0.84,0.8,0.81,0.59,0.63,0.52
human4_lib1.final_cell_0011,0.88,0.86,0.84,0.72,0.63,0.41
human4_lib1.final_cell_0012,0.8,0.73,0.68,0.6,0.62,NA
human4_lib1.final_cell_0013,0.87,0.84,0.77,0.65,0.67,0.38
human4_lib1.final_cell_0014,0.81,0.78,0.81,0.33,0.59,0.48
human4_lib1.final_cell_0015,0.85,0.81,0.77,0.68,0.64,0.22
human4_lib1.final_cell_0016,0.92,0.84,0.82,NA,0.69,0.58
human4_lib1.final_cell_0017,0.88,0.84,0.78,0.66,NA,0.48
human4_lib1.final_cell_0018,0.77,0.78,0.72,0.52,0.59,0.54
human4_lib1.final_cell_0019,0.88,0.84,0.81,NA,0.66,0.56
human4_lib1.final_cell_0020,0.84,0.79,0.71,0.63,0.6,0.2
human4_lib1.final_cell_0021,0.85,0.86,0.8,0.7,NA,0.24
human4_lib1.final_cell_0022,0.87,0.8,0.78,0.64,0.35,0.47
human4_lib1.final_cell_0023,0.73,0.82,0.8,0.66,0.69,0.51
human4_lib1.final_cell_0024,0.86,0.82,0.78,0.66,0.62,0.45
human4_lib1.final_cell_0025,0.85,0.8,0.75,0.66,0.58,0.23
human4_lib1.final_cell_0026,0.86,0.85,0.78,0.66,0.65,0.45
human4_lib1.final_cell_0027,0.87,0.86,0.79,0.71,NA,0.28
human4_lib1.final_cell_0028,0.85,0.8,0.75,0.6,0.58,NA
human4_lib1.final_cell_0029,0.84,0.82,0.77,0.6,0.63,0.48
human4_lib1.final_cell_0030,0.86,0.78,0.75,0.61,0.6,0.55
human4_lib1.final_cell_0031,0.7,0.78,0.75,0.57,0.62,0.5
human4_lib1.final_cell_0032,0.75,0.77,0.81,0.56,0.61,0.43
human4_lib1.final_cell_0033,0.88,0.84,0.79,0.65,0.66,0.34
human4_lib1.final_cell_0034,0.86,0.84,0.77,0.72,0.44,0.51
human4_lib1.final_cell_0035,0.75,0.81,0.63,0.69,NA,NA
human4_lib1.final_cell_0036,0.82,0.86,0.82,0.76,0.43,NA
human4_lib1.final_cell_0037,0.85,0.83,0.77,0.6,0.36,0.26
human4_lib1.final_cell_0038,0.84,0.78,0.69,0.67,0.63,0.3
human4_lib1.final_cell_0039,0.87,0.82,0.81,0.7,0.63,0.23
human4_lib1.final_cell_0040,0.81,0.8,0.75,0.6,0.65,0.5
human4_lib1.final_cell_0041,0.81,0.83,0.78,0.64,0.62,0.27
human4_lib1.final_cell_0042,0.84,0.84,0.74,0.68,NA,0.47
human4_lib1.final_cell_0043,0.86,0.84,0.78,0.74,NA,0.32
human4_lib1.final_cell_0044,0.88,0.86,0.81,NA,0.66,0.51
human4_lib1.final_cell_0045,0.77,0.8,0.74,0.67,0.38,0.5
human4_lib1.final_cell_0046,0.81,0.78,0.7,0.61,0.37,0.41
human4_lib1.final_cell_0047,0.82,0.81,0.72,0.63,0.6,0.22
human4_lib1.final_cell_0048,0.87,0.86,0.83,0.69,0.35,0.46
human4_lib1.final_cell_0049,0.85,0.86,0.78,0.73,NA,0.26
human4_lib1.final_cell_0050,0.89,0.86,0.82,0.73,0.37,0.46
human4_lib1.final_cell_0051,0.83,0.83,0.77,0.62,NA,0.27
human4_lib1.final_cell_0052,0.84,0.8,0.74,0.56,0.6,0.52
human4_lib1.final_cell_0053,0.86,0.85,0.77,0.68,NA,0.27
human4_lib1.final_cell_0054,0.86,0.85,0.8,0.63,0.65,0.53
human4_lib1.final_cell_0055,0.87,0.82,0.8,0.68,0.61,0.4
human4_lib1.final_cell_0056,0.82,0.79,0.69,0.58,0.38,NA
human4_lib1.final_cell_0057,0.76,NA,0.64,0.52,0.52,0.4
human4_lib1.final_cell_0058,0.83,0.83,0.73,0.68,0.65,0.45
human4_lib1.final_cell_0059,0.84,0.84,0.77,0.68,0.36,0.48
human4_lib1.final_cell_0060,0.87,0.84,0.82,0.61,0.65,0.38
human4_lib1.final_cell_0061,0.79,0.82,0.73,0.57,0.33,0.24
human4_lib1.final_cell_0062,0.69,0.83,0.82,NA,0.66,0.4
human4_lib1.final_cell_0063,0.82,0.8,0.74,0.6,0.6,0.44
human4_lib1.final_cell_0064,0.89,0.87,0.85,0.32,0.66,0.52
human4_lib1.final_cell_0065,0.79,0.78,0.79,0.57,0.6,0.45
human4_lib1.final_cell_0066,0.87,0.81,0.79,0.69,0.74,0.61
human4_lib1.final_cell_0067,0.88,0.86,0.82,0.71,NA,0.26
human4_lib1.final_cell_0068,0.87,0.8,0.78,0.66,0.59,0.41
human4_lib1.final_cell_0069,0.81,0.71,0.71,0.54,0.23,0.18
human4_lib1.final_cell_0070,0.84,0.81,0.79,0.55,0.61,0.55
human4_lib1.final_cell_0071,0.87,0.82,0.8,NA,0.62,0.55
human4_lib1.final_cell_0072,0.88,0.87,0.8,0.72,0.39,0.29
human4_lib1.final_cell_0073,0.87,0.8,0.8,0.64,0.65,0.63
human4_lib1.final_cell_0074,0.84,0.84,0.8,0.73,0.4,0.26
human4_lib1.final_cell_0075,0.85,0.82,0.76,0.66,0.4,0.27
human4_lib1.final_cell_0076,0.87,0.85,0.8,0.62,0.65,0.51
human4_lib1.final_cell_0077,0.78,0.78,0.7,NA,NA,0.62
human4_lib1.final_cell_0078,0.84,0.83,0.75,0.65,NA,0.26
human4_lib1.final_cell_0079,0.68,0.78,0.75,0.27,0.58,0.47
human4_lib1.final_cell_0080,0.85,0.83,0.76,0.58,0.63,0.46
human4_lib1.final_cell_0081,0.78,0.75,0.66,0.6,0.59,0.41
human4_lib1.final_cell_0082,0.89,0.84,0.82,0.69,0.71,0.67
human4_lib1.final_cell_0083,0.87,0.81,0.76,0.62,0.38,0.27
human4_lib1.final_cell_0084,0.85,0.84,0.77,0.62,0.36,0.45
human4_lib1.final_cell_0085,0.82,0.81,0.78,0.62,0.61,0.45
human4_lib1.final_cell_0086,0.84,0.82,0.75,0.65,0.36,0.25
human4_lib1.final_cell_0087,0.78,0.76,0.67,0.6,0.39,NA
human4_lib1.final_cell_0088,0.82,0.79,0.73,0.66,0.34,0.52
human4_lib1.final_cell_0089,0.81,0.79,0.71,0.66,0.35,0.41
human4_lib1.final_cell_0090,0.83,0.76,0.71,0.59,0.28,0.21
human4_lib1.final_cell_0091,0.78,0.77,0.71,0.62,0.59,0.46
human4_lib1.final_cell_0092,0.85,0.87,0.79,0.32,0.64,0.49
human4_lib1.final_cell_0093,0.82,0.86,0.8,0.72,NA,0.48
human4_lib1.final_cell_0094,0.88,0.86,0.83,0.69,0.62,0.29
human4_lib1.final_cell_0095,0.86,0.84,0.78,0.73,0.37,0.46
human4_lib1.final_cell_0096,0.89,0.83,0.54,0.6,NA,0.44
human4_lib1.final_cell_0097,0.85,0.8,0.75,0.62,0.32,0.24
human4_lib1.final_cell_0098,0.88,0.84,0.82,0.33,0.63,0.54
human4_lib1.final_cell_0099,0.77,0.77,0.71,NA,0.63,0.46
human4_lib1.final_cell_0100,0.86,0.84,0.78,0.64,0.39,0.26
human4_lib1.final_cell_0101,0.86,0.83,0.8,0.59,0.61,0.5
human4_lib1.final_cell_0102,0.85,0.82,0.71,0.67,NA,0.39
human4_lib1.final_cell_0103,0.87,0.83,0.74,0.65,NA,0.28
human4_lib1.final_cell_0104,0.87,0.84,0.81,0.73,0.4,0.45
human4_lib1.final_cell_0105,0.81,0.79,0.75,0.63,0.59,NA
human4_lib1.final_cell_0106,0.83,0.77,0.73,0.59,0.57,0.41
human4_lib1.final_cell_0107,0.84,0.83,0.8,0.68,0.34,0.44
