reference,mapping,threshold,n_features,n_nn,accuracy
baron-human,baron-human,0.5,1000,10,77.0218228498074
baron-human,baron-human,0.5,1000,10,76.6600536818765
baron-human,baron-human,0.5,1000,10,77.0801727156028
baron-human,baron-human,0.5,1000,10,77.2552223129887
baron-human,baron-human,0.5,1000,10,77.0451627961256
baron-human,baron-human,0.5,1000,10,76.74174349399
baron-human,baron-human,0.5,1000,10,76.0648850507644
baron-human,baron-human,0.5,1000,10,77.2902322324659
baron-human,baron-human,0.5,1000,10,76.4733341113316
baron-human,baron-human,0.5,1000,10,76.5433539502859
baron-human,baron-human,0.5,1000,10,77.2435523398296
baron-human,baron-human,0.5,1000,10,77.2318823666706
baron-human,baron-human,0.5,1000,10,76.5316839771268
baron-human,baron-human,0.5,1000,10,77.6286614540787
baron-human,baron-human,0.5,1000,10,77.0101528766484
baron-human,baron-human,0.5,1000,10,76.8467732524215
baron-human,baron-human,0.5,1000,10,76.8000933597853
baron-human,baron-human,0.5,1000,10,76.4966740576497
baron-human,baron-human,0.5,1000,10,77.4069319640565
baron-human,baron-human,0.5,1000,10,77.2552223129887
baron-human,baron-human,0.5,1000,10,77.313572178784
baron-human,baron-human,0.5,1000,10,77.2552223129887
baron-human,baron-human,0.5,1000,10,77.1035126619209
baron-human,baron-human,0.5,1000,10,76.8934531450578
baron-human,baron-human,0.5,1000,10,77.1735325008753
baron-human,baron-human,0.5,1000,10,77.0451627961256
baron-human,baron-human,0.5,1000,10,75.7031158828335
baron-human,baron-human,0.5,1000,10,77.2552223129887
baron-human,baron-human,0.5,1000,10,77.0101528766484
baron-human,baron-human,0.5,1000,10,77.8970708367371
baron-human,baron-human,0.5,1000,10,77.1385225813981
baron-human,baron-human,0.5,1000,10,78.2004901388727
baron-human,baron-human,0.5,1000,10,77.4186019372155
baron-human,baron-human,0.5,1000,10,77.1968724471934
baron-human,baron-human,0.5,1000,10,76.4383241918544
baron-human,baron-human,0.5,1000,10,77.8037110514646
baron-human,baron-human,0.5,1000,5,60.298751312872
baron-human,baron-human,0.5,1000,5,60.0770218228498
baron-human,baron-human,0.5,1000,5,60.3687711518264
baron-human,baron-human,0.5,1000,5,60.4154510444626
baron-human,baron-human,0.5,1000,5,60.672190453962
baron-human,baron-human,0.5,1000,5,60.2170615007586
baron-human,baron-human,0.5,1000,5,59.3768234333061
baron-human,baron-human,0.5,1000,5,59.3184735675108
baron-human,baron-human,0.5,1000,5,60.0070019838954
baron-human,baron-human,0.5,1000,5,60.1353716886451
baron-human,baron-human,0.5,1000,5,60.6955304002801
baron-human,baron-human,0.5,1000,5,61.1506593534835
baron-human,baron-human,0.5,1000,5,61.1623293266425
baron-human,baron-human,0.5,1000,5,58.793324775353
baron-human,baron-human,0.5,1000,5,59.1084140506477
baron-human,baron-human,0.5,1000,5,60.1937215544404
baron-human,baron-human,0.5,1000,5,60.3687711518264
baron-human,baron-human,0.5,1000,5,58.9100245069436
baron-human,baron-human,0.5,1000,5,60.0886917960089
baron-human,baron-human,0.5,1000,5,59.9486521181001
baron-human,baron-human,0.5,1000,5,60.0420119033726
baron-human,baron-human,0.5,1000,5,60.0770218228498
baron-human,baron-human,0.5,1000,5,59.0150542653752
baron-human,baron-human,0.5,1000,5,60.5671606955304
baron-human,baron-human,0.5,1000,5,59.551873030692
baron-human,baron-human,0.5,1000,5,59.353483486988
baron-human,baron-human,0.5,1000,5,59.5868829501692
baron-human,baron-human,0.5,1000,5,61.6641381724822
baron-human,baron-human,0.5,1000,5,59.7502625743961
baron-human,baron-human,0.5,1000,5,59.7969424670323
baron-human,baron-human,0.5,1000,5,60.8239001050298
baron-human,baron-human,0.5,1000,5,60.4037810713035
baron-human,baron-human,0.5,1000,5,59.6452328159645
baron-human,baron-human,0.5,1000,5,60.5671606955304
baron-human,baron-human,0.5,1000,5,61.244019138756
baron-human,baron-human,0.5,1000,5,59.4468432722605
baron-human,baron-human,0.5,1000,5,59.738592601237
baron-human,baron-human,0.5,1000,5,59.8202824133504
baron-human,baron-human,0.5,1000,5,60.8472400513479
baron-human,baron-human,0.5,1000,5,59.1084140506477
baron-human,baron-human,0.5,1000,5,60.3337612323492
baron-human,baron-human,0.5,1000,5,59.6218928696464
baron-human,baron-human,0.5,1000,5,60.0070019838954
baron-human,baron-human,0.5,1000,5,60.683860427121
baron-human,baron-human,0.5,1000,5,59.8086124401914
baron-human,baron-human,0.5,1000,5,59.6919127086008
baron-human,baron-human,0.5,1000,5,59.4468432722605
baron-human,baron-human,0.5,1000,5,61.7808379040728
baron-human,baron-human,0.5,1000,5,60.3921110981445
baron-human,baron-human,0.5,1000,5,59.8319523865095
baron-human,baron-human,0.5,1000,5,59.1200840238067
baron-human,baron-human,0.5,1000,5,60.8472400513479
baron-human,baron-human,0.5,1000,5,61.1506593534835
baron-human,baron-human,0.5,1000,5,60.683860427121
baron-human,baron-human,0.5,1000,5,59.738592601237
baron-human,baron-human,0.5,1000,5,60.2870813397129
baron-human,baron-human,0.5,1000,5,59.8786322791458
baron-human,baron-human,0.5,1000,5,60.0886917960089
baron-human,baron-human,0.5,1000,5,58.3615357684677
baron-human,baron-human,0.5,1000,5,59.6335628428055
baron-human,baron-human,0.5,1000,5,59.7736025207142
baron-human,baron-human,0.5,1000,5,58.8516746411483
baron-human,baron-human,0.5,1000,5,60.7305403197573
baron-human,baron-human,0.5,1000,5,59.1550939432839
baron-human,baron-human,0.5,1000,5,60.0653518496907
baron-human,baron-human,0.5,1000,5,60.0303419302136
baron-human,baron-human,0.5,1000,5,59.3301435406699
baron-human,baron-human,0.5,1000,5,60.0770218228498
baron-human,baron-human,0.5,1000,5,60.8005601587116
baron-human,baron-human,0.5,1000,5,60.3804411249854
baron-human,baron-human,0.5,1000,5,59.1784338896021
baron-human,baron-human,0.5,1000,5,60.870579997666
baron-human,baron-human,0.5,1000,5,60.2287314739176
baron-human,baron-human,0.5,1000,5,59.2717936748746
