reference,mapping,threshold,n_features,kappa,uns_rate,Method
muraro,baron-human,0.5,100-200,0.864524198484276,2.19395495390361,scmap
muraro,baron-human,0.5,1000-2000,0.894554360323857,15.684443925779,scmap
muraro,baron-human,0.5,2000-5000,0.875267468021174,45.4312055082273,scmap
muraro,baron-human,0.5,200-500,0.885839157383058,3.95612090092193,scmap
muraro,baron-human,0.5,0-100,0.852764548623391,1.51709651067803,scmap
muraro,baron-human,0.5,500-1000,0.891127397455444,7.36375306336795,scmap
muraro,baron-human,0.6,ALL,0.85361612997825,68.246003034193,scmap
muraro,baron-human,0.6,100-200,0.885485735629944,8.83416968140973,scmap
muraro,baron-human,0.6,1000-2000,0.865942755805542,60.9639397829385,scmap
muraro,baron-human,0.6,2000-5000,0.611973412138477,92.4962072587233,scmap
muraro,baron-human,0.6,200-500,0.902324934005476,18.9403664371572,scmap
muraro,baron-human,0.6,0-100,0.871365786262744,5.41486754580465,scmap
muraro,baron-human,0.6,500-1000,0.897030654226479,35.5233982961839,scmap
muraro,baron-human,0.7,ALL,0.324052590873937,99.5565410199557,scmap
muraro,baron-human,0.7,100-200,0.912342929281627,32.71093476485,scmap
muraro,baron-human,0.7,1000-2000,0.477320998725634,97.362586066052,scmap
muraro,baron-human,0.7,2000-5000,0,99.8949702415684,scmap
muraro,baron-human,0.7,200-500,0.883426541584449,63.0178550589334,scmap
muraro,baron-human,0.7,0-100,0.904971731454538,19.9323141556774,scmap
muraro,baron-human,0.7,500-1000,0.764405905319275,86.392811296534,scmap
muraro,baron-human,0.8,ALL,0,100,scmap
muraro,baron-human,0.8,100-200,0.860589378475472,84.677325242152,scmap
muraro,baron-human,0.8,1000-2000,0,100,scmap
muraro,baron-human,0.8,2000-5000,0,100,scmap
muraro,baron-human,0.8,200-500,0.630531609195402,98.3778737308904,scmap
muraro,baron-human,0.8,0-100,0.915418911232308,62.5043762399346,scmap
muraro,baron-human,0.8,500-1000,0.318181818181818,99.9416501342047,scmap
muraro,baron-human,0.9,ALL,0,100,scmap
muraro,baron-human,0.9,100-200,0.333333333333333,99.9766600536819,scmap
muraro,baron-human,0.9,1000-2000,0,100,scmap
muraro,baron-human,0.9,2000-5000,0,100,scmap
muraro,baron-human,0.9,200-500,0,100,scmap
muraro,baron-human,0.9,0-100,0.360842844600527,99.3931613957288,scmap
muraro,baron-human,0.9,500-1000,0,100,scmap
baron-human,muraro,0.5,ALL,0.801489742914733,22.7187206020696,scmap
baron-human,muraro,0.5,100-200,0.886765112100867,0.188146754468485,scmap
baron-human,muraro,0.5,1000-2000,0.852274173956141,2.6340545625588,scmap
baron-human,muraro,0.5,200-500,0.880160996403296,0.141110065851364,scmap
baron-human,muraro,0.5,2000-5000,0.777294361371775,40.4985888993415,scmap
baron-human,muraro,0.5,0-100,0.882472624191299,0.282220131702728,scmap
baron-human,muraro,0.5,500-1000,0.871108949416342,0.517403574788335,scmap
baron-human,muraro,0.6,ALL,0.34375,99.3414863593603,scmap
baron-human,muraro,0.6,100-200,0.888133099649676,0.517403574788335,scmap
baron-human,muraro,0.6,1000-2000,0.830091001853356,28.5512699905927,scmap
baron-human,muraro,0.6,200-500,0.8791717794537,2.25776105362183,scmap
baron-human,muraro,0.6,2000-5000,0.135135135135135,98.4948259642521,scmap
baron-human,muraro,0.6,0-100,0.882657183535307,0.611476952022578,scmap
baron-human,muraro,0.6,500-1000,0.869941481385249,4.65663217309501,scmap
baron-human,muraro,0.7,ALL,0,100,scmap
baron-human,muraro,0.7,100-200,0.896278275204233,2.72812793979304,scmap
baron-human,muraro,0.7,1000-2000,0.0416666666666667,96.7544684854186,scmap
baron-human,muraro,0.7,200-500,0.890827166690143,7.85512699905927,scmap
baron-human,muraro,0.7,2000-5000,0,100,scmap
baron-human,muraro,0.7,0-100,0.893413906782998,2.68109125117592,scmap
baron-human,muraro,0.7,500-1000,0.850978782247958,41.0159924741298,scmap
baron-human,muraro,0.8,ALL,0,100,scmap
baron-human,muraro,0.8,100-200,0.93070019164473,31.3734713076199,scmap
baron-human,muraro,0.8,1000-2000,0,100,scmap
baron-human,muraro,0.8,200-500,0.703658699227954,85.7478833490122,scmap
baron-human,muraro,0.8,2000-5000,0,100,scmap
baron-human,muraro,0.8,0-100,0.955915416881805,21.1194731890875,scmap
baron-human,muraro,0.8,500-1000,0.0666666666666667,99.3414863593603,scmap
baron-human,muraro,0.9,ALL,0,100,scmap
baron-human,muraro,0.9,100-200,0,100,scmap
baron-human,muraro,0.9,1000-2000,0,100,scmap
baron-human,muraro,0.9,200-500,0,100,scmap
baron-human,muraro,0.9,2000-5000,0,100,scmap
baron-human,muraro,0.9,0-100,1,97.8363123236124,scmap
baron-human,muraro,0.9,500-1000,0,100,scmap
segerstolpe,baron-human,0.5,100-200,0.818833928913147,2.03057532967674,scmap
segerstolpe,baron-human,0.5,ALL,0.852737625206618,32.6759248453729,scmap
segerstolpe,baron-human,0.5,1000-2000,0.852843967195714,2.41568444392578,scmap
segerstolpe,baron-human,0.5,2000-5000,0.856164816166165,5.83498657953087,scmap
segerstolpe,baron-human,0.5,200-500,0.835134771917882,2.39234449760766,scmap
segerstolpe,baron-human,0.5,500-1000,0.848970370018906,1.54043645699615,scmap
segerstolpe,baron-human,0.5,0-100,0.684566795363066,2.50904422919827,scmap
segerstolpe,baron-human,0.6,100-200,0.822930293194789,2.99918310187887,scmap
segerstolpe,baron-human,0.6,ALL,0.774108322324967,92.2394678492239,scmap
segerstolpe,baron-human,0.6,1000-2000,0.874386657707471,22.686427821216,scmap
segerstolpe,baron-human,0.6,2000-5000,0.879223151066913,40.2030575329677,scmap
segerstolpe,baron-human,0.6,200-500,0.841008455919234,3.96779087408099,scmap
segerstolpe,baron-human,0.6,500-1000,0.85955486639632,9.80277745361186,scmap
segerstolpe,baron-human,0.6,0-100,0.689726304383093,3.79274127669506,scmap
segerstolpe,baron-human,0.7,100-200,0.848848158856946,16.1862527716186,scmap
segerstolpe,baron-human,0.7,ALL,0,99.9883300268409,scmap
segerstolpe,baron-human,0.7,1000-2000,0.824956195727064,78.3171898704633,scmap
segerstolpe,baron-human,0.7,2000-5000,0.79351980060925,94.5617925078772,scmap
segerstolpe,baron-human,0.7,200-500,0.868325615724349,28.7198039444509,scmap
segerstolpe,baron-human,0.7,500-1000,0.869851981157729,49.7841054965574,scmap
segerstolpe,baron-human,0.7,0-100,0.721170102986492,14.9025557241218,scmap
segerstolpe,baron-human,0.8,100-200,0.853568664400848,66.1454078655619,scmap
segerstolpe,baron-human,0.8,ALL,0,100,scmap
segerstolpe,baron-human,0.8,1000-2000,0.428571428571429,99.9533201073638,scmap
segerstolpe,baron-human,0.8,2000-5000,0,100,scmap
segerstolpe,baron-human,0.8,200-500,0.814386330602383,86.206091725989,scmap
segerstolpe,baron-human,0.8,500-1000,0.829636621047664,98.2261640798226,scmap
segerstolpe,baron-human,0.8,0-100,0.834690603233057,59.1550939432839,scmap
segerstolpe,baron-human,0.9,100-200,1,99.813280429455,scmap
segerstolpe,baron-human,0.9,ALL,0,100,scmap
segerstolpe,baron-human,0.9,1000-2000,0,100,scmap
segerstolpe,baron-human,0.9,2000-5000,0,100,scmap
segerstolpe,baron-human,0.9,200-500,0,100,scmap
segerstolpe,baron-human,0.9,500-1000,0,100,scmap
segerstolpe,baron-human,0.9,0-100,0.84755663199886,98.7513128719804,scmap
baron-human,segerstolpe,0.5,ALL,0.333333333333333,99.7283838841105,scmap
baron-human,segerstolpe,0.5,100-200,0.876047391130065,0.135808057944771,scmap
baron-human,segerstolpe,0.5,1000-2000,0.838994802527813,8.19375282933454,scmap
baron-human,segerstolpe,0.5,200-500,0.861866956946093,0.362154821186057,scmap
baron-human,segerstolpe,0.5,2000-5000,0.33677863910422,93.662290629244,scmap
baron-human,segerstolpe,0.5,0-100,0.883142409523699,0.226346763241286,scmap
baron-human,segerstolpe,0.5,500-1000,0.854040529125333,1.22227252150294,scmap
baron-human,segerstolpe,0.6,ALL,0,100,scmap
baron-human,segerstolpe,0.6,100-200,0.879476413929365,0.588501584427343,scmap
baron-human,segerstolpe,0.6,1000-2000,0.219906803777735,77.5916704391127,scmap
baron-human,segerstolpe,0.6,200-500,0.869961199499984,1.76550475328203,scmap
baron-human,segerstolpe,0.6,2000-5000,0,100,scmap
baron-human,segerstolpe,0.6,0-100,0.88411845435113,0.362154821186057,scmap
baron-human,segerstolpe,0.6,500-1000,0.857725434842954,8.05794477138977,scmap
baron-human,segerstolpe,0.7,ALL,0,100,scmap
baron-human,segerstolpe,0.7,100-200,0.893072953265248,3.44047080126754,scmap
baron-human,segerstolpe,0.7,1000-2000,0,100,scmap
baron-human,segerstolpe,0.7,200-500,0.88127532799171,9.23494794024445,scmap
baron-human,segerstolpe,0.7,2000-5000,0,100,scmap
baron-human,segerstolpe,0.7,0-100,0.890501202832231,1.62969669533726,scmap
baron-human,segerstolpe,0.7,500-1000,0.296333993711263,80.3078315980081,scmap
baron-human,segerstolpe,0.8,ALL,0,100,scmap
baron-human,segerstolpe,0.8,100-200,0.945794731614923,28.7460389316433,scmap
